STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00042319,"DEATH VALLEY, CA US",2018/1/1,0,65,34,42
USC00042319,"DEATH VALLEY, CA US",2018/1/2,0,61,38,46
USC00042319,"DEATH VALLEY, CA US",2018/1/3,0,69,34,54
USC00042319,"DEATH VALLEY, CA US",2018/1/4,0,69,39,48
USC00042319,"DEATH VALLEY, CA US",2018/1/5,0,74,40,57
USC00042319,"DEATH VALLEY, CA US",2018/1/6,0,74,47,65
USC00042319,"DEATH VALLEY, CA US",2018/1/7,0,77,54,60
USC00042319,"DEATH VALLEY, CA US",2018/1/8,0.07,62,52,52
USC00042319,"DEATH VALLEY, CA US",2018/1/9,0.4,60,51,51
USC00042319,"DEATH VALLEY, CA US",2018/1/10,0,64,49,50
